species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,taxon,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,germline_timing,References
Valvognathia pogonostoma,valvognathia pogonostoa,obligate,complex,yes,NA,15,1778.28,clonal,[21],Animalia,Gnathostomulida,Gnathostomulida,Bursovaginoidea,Onychognathiidae,1,0,0,1,0,0,"Gnathostomulids: simultaneous hermaphrodites, eggs rupture through body wall! (Wiki) can’t really find much. Nielsen 2011: all species are hermaphrodites (Animal evolution: interrelationships of the living phyla). Kristensen 1978— describe oocytes and sperm",?,"(2, 6, 165, 203)"
Volvox africanus,Volvox africanus,obligate,simple,yes,99.9,2,8192,clonal,"[27, 33]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,0,0,"In volvox, immature colonies grow from single cells within the adult and then burst out-- this is a bottleneck, but does it really represent a bud where we know the 1st cell?",3,"(27-30, 101)"
Volvox aureus,Volvox aureus,obligate,simple,yes,NA,2,2048,clonal,[21],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvox barberi,Volvox barberi,obligate,simple,yes,99.98,2,32768,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvox carteri f. kawasakiensis,Volvox carteri f. kawasakiensis,obligate,simple,yes,99,2,2048,clonal,"[16, 34-36]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,Asymmetrical cell division determines reproduction (cell-cell interactions?),2,"(27-30, 101)"
Volvox carteri f. nagariensis,Volvox carteri f. nagariensis,obligate,simple,yes,99,2,4096,clonal,"[16, 34-36]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,2,"(27-30, 101)"
Volvox carteri f. weismannia,Volvox carteri f. weismannia,obligate,simple,yes,99,2,2048,clonal,"[16, 34-36]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,2,"(27-30, 101)"
Volvox dissipatrix,Volvox dissipatrix,obligate,simple,yes,NA,2,16384,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvox gigas,Volvox gigas,obligate,simple,yes,93.75,2,4096,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvox globator,Volvox globator,obligate,simple,yes,NA,2,16384,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvox obversus,Volvox obversus,obligate,simple,yes,NA,2,2048,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,2,"(27-30, 101)"
Volvox rousseletii,Volvox rousseletii,obligate,simple,yes,NA,2,32768,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvox tertius,Volvox tertius,obligate,simple,yes,98.8,2,1024,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Volvulina boldii,Volvulina boldii,obligate,simple,no,0,1,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,"(27-30, 101)"
Volvulina compacta,Volvulina compacta,obligate,simple,no,0,1,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,"(27-30, 101)"
Volvulina pringsheimii,Volvulina pringsheimii,obligate,simple,no,0,1,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,"(27-30, 101)"
Volvulina steinii,Volvulina steinii,obligate,simple,no,0,1,16,clonal,[28],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,"(27-30, 101)"
Wolffia arrhiza,Wolffia arrhiza,obligate,complex,yes,NA,5,10000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,0,0,1,1,0,1,"Fryxell 1967: G, and says that they rarely flower. But Schmitz and Kelm 2017 describe flowering",3,"(3, 124, 153, 204)"
Wolffia microscopica,Wolffia microscopica,obligate,complex,yes,NA,7,70794.5784,clonal,[21],Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,1,0,1,1,0,1,"Sree et al 2015: description of plant, flowering, vegetative & sex",3,"(3, 124, 205, 206)"
Yamadaella caenomyce,Yamadaella caenomyce,obligate,complex,yes,NA,7,3981071706,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Namaliales,Yamadaellaceae,1,1,0,1,1,0,Wynne & Huisman discuss reproductive structures— but no discussion of vegetative reproduction. Not much info otherwise ,3,"(3, 207)"
Yamagishiella unicocca,Yamagishiella unicocca,obligate,simple,no,0,1,32,clonal,"[27, 31]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,"(29, 30)"
Zeacarpa leiomorpha,Zeacarpa leiomorpha,obligate,complex,yes,NA,8,7943282347,clonal,[21],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,3,"(27-30, 101)"
Zoothamnium alternans,Zoothamnium alternans,obligate,simple,yes,NA,4,141.253755,clonal,"[40, 41]",Chromista,Ciliophora,Oligohymenophorea,Peritrichida,Zoothamniidae,1,1,0,1,1,0,"Forms colonies, single cells become motile and swim off to start new colonies. Fauré-fremiet 1930, summers 1938. Conjugation described in Summers 1938, but seems rare (assume this is similar to sex).",3,"(3, 24, 208)"
