species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,family,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,fragmentation_or_budding,germline_timing,refs,
Eudorina unicocca,Eudorina unicocca,obligate,simple,no,0,1,32,clonal,[31],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Pandorina colemaniae,Pandorina colemaniae,obligate,simple,no,0,1,16,clonal,[30],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Pandorina morum,Pandorina morum,obligate,simple,no,0,1,16,clonal,[30],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Platydorina caudata,Platydorina caudata,obligate,simple,no,0,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Pleodorina californica,Pleodorina californica,obligate,simple,yes,NA,2,128,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Pleodorina illinoisensis,Pleodorina illinoisensis,obligate,simple,yes,25,2,32,clonal,[32],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Pleodorina indica,Pleodorina indica,obligate,simple,yes,50,2,128,clonal,[32],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Pleodorina japonica,Pleodorina japonica,obligate,simple,yes,NA,2,128,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox aureus,Volvox aureus,obligate,simple,yes,NA,2,2048,clonal,[21],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox globator,Volvox globator,obligate,simple,yes,NA,2,16384,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox rousseletii,Volvox rousseletii,obligate,simple,yes,NA,2,32768,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox tertius,Volvox tertius,obligate,simple,yes,98.8,2,1024,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Volvulina boldii,Volvulina boldii,obligate,simple,no,0,1,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Volvulina compacta,Volvulina compacta,obligate,simple,no,0,1,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Volvulina pringsheimii,Volvulina pringsheimii,obligate,simple,no,0,1,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Volvulina steinii,Volvulina steinii,obligate,simple,no,0,1,16,clonal,[28],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Yamagishiella unicocca,Yamagishiella unicocca,obligate,simple,no,0,1,32,clonal,"[27, 31]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,,,,,,,,NA,0,"(51, 52)",
Chordodasiopsis antennatus,chordodasys antennatus,obligate,complex,yes,NA,15,1258.93,clonal,[21],Animalia,Gastrotricha,NA,Macrodasyida,Xenodasyidae,1,0,0,1,0,0,"Can’t see any reports, but macrodasiyds referred to as pretty homogeneous in Teuchert. Gonads and sperm described in Reiger 1974",none,1,"(1, 4)",
Yamadaella caenomyce,Yamadaella caenomyce,obligate,complex,yes,NA,7,3981071706,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Namaliales,Yamadaellaceae,1,0,0,1,0,0,Wynne & Huisman discuss reproductive structures— but no discussion of vegetative reproduction. Not much info otherwise ,none,3,-2,
Zoothamnium alternans,Zoothamnium alternans,obligate,simple,yes,NA,4,141.253755,clonal,"[40, 41]",Chromista,Ciliophora,Oligohymenophorea,Peritrichida,Zoothamniidae,1,1,0,1,1,0,"Forms colonies, single cells become motile and swim off to start new colonies. Fauré-fremiet 1930, summers 1938. Conjugation described in Summers 1938, but seems rare (assume this is similar to sex). ",NA,3,"(29, 30)",
